frame,time_s,temperature_C,austenite_fraction,length_env_true_px,length_axis_true_px,length_axis_alt_true_px,diameter_true_px,diameter_max_feret_true_px,area_proj_true_px2,area_proj_true_norm,area_proj_model_true_px2,area_proj_raster_true_px2,area_proj_contour_true_px2
188,9.4,46.203,0.190993,396.5448,326.9199,326.3577,92.5,94.9025,18749.8747,0.959426,24434.7129,24491.0,25254.5
189,9.45,46.3158,0.198041,395.5464,323.9108,323.3412,94.0,95.1269,19115.0945,0.978114,24403.5996,24443.0,25201.0
190,9.5,46.4286,0.205192,394.548,323.9166,323.3499,94.0,95.1231,18985.0143,0.971458,24372.0117,24398.0,25166.0
191,9.55,46.5414,0.212444,393.5495,329.9127,329.3308,84.0,95.1198,19025.2556,0.973517,24339.9609,24379.0,25166.0
192,9.6,46.6541,0.219791,392.5514,329.8899,329.2664,82.5,96.1126,18995.4643,0.971993,24307.4609,24328.0,25102.5
193,9.65,46.7669,0.227233,392.5519,323.8927,323.2123,93.0,96.1088,18873.2274,0.965738,24274.5234,24323.0,25088.5
194,9.7,46.8797,0.234766,391.5531,320.9041,320.2905,93.5,96.4067,18636.1886,0.953609,24241.1562,24292.0,25049.0
195,9.75,46.9925,0.242386,390.5539,320.9086,320.2891,95.5,96.8499,18705.4342,0.957152,24207.377,24256.0,25012.5
196,9.8,47.1053,0.250092,389.5556,320.9289,320.3506,93.5,96.8952,18489.9758,0.946127,24173.1953,24232.0,24991.0
197,9.85,47.218,0.257879,388.557,317.9355,317.3197,95.5,96.8948,18542.0994,0.948794,24138.6191,24168.0,24926.0
198,9.9,47.3308,0.265745,388.5572,317.9253,317.3114,96.0,96.8478,18718.5025,0.957821,24103.666,24143.0,24901.5
199,9.95,47.4436,0.273688,386.5602,317.9214,317.274,91.5,96.8463,18205.3992,0.931565,24068.3438,24102.0,24854.5
200,10.0,47.5564,0.281704,386.5611,317.9269,317.2935,88.5,97.1346,18439.5282,0.943546,24032.668,24080.0,24815.5
201,10.05,47.6692,0.28979,385.5628,314.9276,314.3313,96.5,97.1304,18693.2002,0.956526,23996.6465,24054.0,24788.5
202,10.1,47.782,0.297943,384.5647,314.9337,314.318,96.5,97.1721,18498.4788,0.946562,23960.293,23991.0,24730.5
203,10.15,47.8947,0.30616,383.5667,314.9219,314.3089,95.0,98.1169,18470.6765,0.945139,23923.625,23973.0,24711.0
204,10.2,48.0075,0.314438,382.5685,314.9091,314.2736,93.5,98.1113,18601.8626,0.951852,23886.6465,23907.0,24659.0
205,10.25,48.1203,0.322775,381.5707,311.8985,311.2465,96.5,98.8823,18565.0509,0.949968,23849.3711,23867.0,24620.0
206,10.3,48.2331,0.331167,380.5718,311.9222,311.3156,93.5,98.8825,18785.4855,0.961248,23811.8164,23850.0,24589.5
207,10.35,48.3459,0.339612,379.5736,314.9173,314.3389,89.5,98.8813,18456.583,0.944418,23773.9883,23800.0,24549.0
